Key Expression (한국어),Sub Expression (한국어)
어떻게 지내? — 잘 지내고 있어.,잘 지냈어? — 잘 지내고 있었어. 모든 게 어때? — 모든 게 좋아.
A: 어디에 있어? B: 나는 거실에 있어.,A: 그는 어디에 있어? B: 그는 () 방에 있어. A: 그들은 어디에 있어? B: 그들은 () 구역에 있어.
A: 이 가방은 누구의 거야? B: 도나의 거야.,A: 이건 누구의 거야? B: ()의 거야. A: 이 물건은 누구의 거야? B: ()의 거야.
하이킹하러 가자.,피크닉 하자. 공원에 가자.
생일 선물로 무엇을 원해? — 나는 차를 원해.,A: ()를 위해 무엇을 가지고 싶어? — 나는 ()를 갖고 싶어. A: ()를 위해 어떤 선물을 선택할래? — 나는 ()를 원해.
A: 그녀는 무슨 일을 해? B: 그녀는 선생님이야.,A: 그의 직업은 뭐야? B: 그는 (). A: 그녀의 직업은 뭐야? B: 그녀는 ().
A: 몇 시에 일어나? B: 나는 6시 30분에 일어나.,A: 몇 시에 자러 가? B: 나는 ()에 자러 가. A: 아침은 언제 먹어? B: 나는 ()에 아침을 먹어.
A: 어디서 왔어? B: 나는 일본에서 왔어.,A: 어디서 왔어? B: 나는 ()에서 왔어. A: 어느 나라 출신이니? B: 나는 () 출신이야.
A: 어제 뭐 했어? B: 나는 공원에 갔어.,A: 어제 뭐하고 지냈어? B: 나는 (장소)를 방문했어. A: 어제 어떻게 보냈어? B: 나는 (활동)을 즐겼어.
A: 그녀는 어떻게 생겼어? B: 그녀는 곱슬머리를 가지고 있어.,A: 그녀의 외모를 묘사해줄래? B: 그녀는 (). A: 그는 어떤 머리를 가지고 있어? B: 그는 ().
A: 그는 무엇을 하고 있니? B: 그는 책을 읽고 있어.,A: 그녀는 무엇을 하고 있니? B: 그녀는 ()하고 있어. A: 저기서는 무슨 일이 일어나고 있니? B: 그는 ()하고 있어.
A: 이 셔츠 얼마야? B: 8달러야.,A: 이 시계 가격이 얼마야? B: 이거 () 달러야. A: 이 물건은 몇 달러야? B: 이거 () 달러야.
A: 도서관은 어디에 있어요? B: 커피숍 근처에 있어요.,A: ( )은 어디에서 찾을 수 있나요? B: 그것은 ( ) ( )에 위치해 있어요. A: ( )은 어디에 있나요? B: 그것은 ( )에 있어요.
A: 여가 시간에 뭐 해? B: 나는 그림을 그려.,A: 여가 시간에 어떤 활동들을 즐기니? B: 나는 재미로 ()해. A: 일하지 않을 때는 무엇을 하는 걸 좋아하니? B: 나는 ()를 즐겨.
A: 어디서 왔어? B: 나는 일본에서 왔어.,A: 어느 나라에서 왔니? B: 나는 ()에서 왔어. A: 어느 곳에서 왔어? B: 나는 ()에서 왔어.
A: 이것들은 뭐야? B: 책들이야.,A: 저것들은 뭐야? B: 저것들은 (). A: 그것들은 뭐라고 불러? B: 그것들은 ()라고 불러.
"A: 강아지랑 놀아도 돼? B: 응, 할 수 있어.","A: 이 사탕 좀 먹어봐도 돼? B: 물론, 할 수 있어. A: 그 책을 읽어도 돼? B: 미안, 안 돼."
A: 이 가방 누구 거야? B: 미나 거야.,A: 이 가방 누구 소유야? B: ()의 거야. A: 이 가방 누구 거야? B: ()의 거야.
A: 좋아하는 과목이 뭐야? B: 내가 가장 좋아하는 과목은 수학이야.,A: 가장 좋아하는 과목이 뭐야? B: 나는 ()를 선호해. A: 네가 가장 좋아하는 과목은 뭐야? B: 내가 가장 좋아하는 것은 ().
몇 시에 일어나? 나는 7시에 일어나.,너는 언제 일어나? 나는 ()시에 일어나. 너는 언제 하루를 시작해? 나는 ()시에 하루를 시작해.
