example_english,example_korean
The teacher can quickly determine each student's error.,선생님께서 각 학생의 오류를 밝혀내요.
I quickly divide my sandwich into two pieces.,저는 빨리 샌드위치를 두 조각으로 나누어요.
A large divide exists between rich and poor.,부자와 가난한 사이에는 큰 격차가 있어요.
Our fun drama showed amazing actors and scenes.,우리 재미있는 연극 훌륭한 배우와 장면들이 있어요.
My sister always likes watching a drama series.,언니는 항상 드라마 시리즈 보는 것을 좋아해요.
His small bonus is due for his effort.,그의 작은 보너스는 그의 노력 덕분에 마땅해요.
The train is late due to strong wind.,기차가 강한 바람으로 늦었어요.
Our train is due to leave at six.,우리 기차는 여섯시에 출발하기로 되어 있어요.
My lunch bill is due this coming Monday.,내 점심 계산서가 이번 월요일에 만기되요.
Please note the homework is due on Monday.,숙제는 월요일에 기일이 된 거예요.
I dump trash in the blue metal bin.,나는 파란 금속 쓰레기통에 쓰레기를 버려요.
The dump is full of many trash bags.,더미는 많은 쓰레기 봉투로 가득해요.
The dump is a huge pile of garbage.,그 쓰레기 더미는 아주 커요.
There is a dump behind our school now.,우리 학교 뒤에 폐기장이 있어요.
The electric fan cools the hot busy room.,전기 선풍기가 뜨거운 방을 식혀요.
My elementary art class is very fun today.,나의 초보 미술 수업은 오늘 매우 즐거워요.
My little sister goes to an elementary school.,제 작은 여동생은 초등학교에 다녀요.
The ancient empire ruled vast lands long ago.,옛 제국은 넓은 땅을 다스렸어요.
The engine of the car works very well.,자동차의 엔진이 아주 잘 작동해요.
The cat tried to escape from the room.,고양이가 방에서 달아나려고 했어요.
My friend enjoys tea especially on rainy days.,내 친구는 특히 비 오는 날 차를 즐겨요.
I hope we ever play together after school.,학교 끝나고 언젠가 함께 놀고 싶어요.
This is the most exciting game ever played.,이것은 지금까지 가장 신나는 경기였어요.
I have met him ever in my life.,나는 평생에 그를 만난 적이 있어요.
Have you ever seen a very beautiful rainbow?,예전에 아주 예쁜 무지개를 본 적 있나요?
My precious toy really exists in my heart.,내 소중한 장난감은 내 마음속에 정말 존재해요.
He is an extra in our school play.,그는 우리 학교 연극에서 단역 배우에요.
I keep an extra pencil in my bag.,저는 가방에 여분의 연필을 보관해요.
The friendly teacher always wears a familiar smile.,다정한 선생님은 늘 낯익은 미소를 지으세요.
I really fancy a bright red bicycle now.,나는 정말 밝은 빨간 자전거를 원해요.
The new book reveals a wild fancy story.,새 책은 멋진 공상 이야기를 보여줘요.
The little cafe has a very fancy interior.,작은 카페는 아주 화려한 인테리어가 있어요.
Our teacher drives a fancy red car daily.,우리 선생님은 매일 값비싼 고급의 빨간 차를 운전해요.
She wore fancy blue dress at her school.,그녀는 학교에서 멋진 파란 드레스를 입었어요.
My flight from busy Seoul departs at eight.,바쁜 서울에서 항공편이 여덟시에 출발해요.
The flight goes high over the blue sky.,항공편은 파란 하늘 위로 높이 날아요.
He quickly took flight to escape from danger.,그는 위험에서 탈출하기 위해 빨리 도피했어요.
My fortune improved when I found a coin.,내 행운은 동전을 찾았을 때 좋아졌어요.
He saved money to build his rich fortune.,그는 재산을 쌓기 위해 돈을 모았어요.
I keep my fortune safe in my house.,나는 내 재산을 내 집에서 안전히 지켜요.
The little frog jumps under the wet leaf.,작은 개구리가 젖은 잎 아래서 점프해요.
The athlete's new gear is ready for use.,운동선수의 새로운 장비가 준비되었어요.
He carefully shifts the gear in his car.,그는 조심스럽게 자동차 기어를 바꿔요.
I pack my gear for our fun camping.,나는 재미있는 캠핑을 위해 내 소유물을 챙겨요.
My gentle friend always gives a warm smile.,내 점잖은 친구는 항상 따뜻한 미소를 지어요.
The gentle cat is very soft and kind.,온순한 고양이는 아주 부드럽고 친절해요.
The giant looks strong and smiles a lot.,거인은 강하고 많이 웃어요.
The giant tree grows in our small garden.,거대한 나무가 우리 작은 정원에서 자라요.
The garden flowers look absolutely gorgeous in summer.,정원의 꽃들이 여름에 정말 아름다워요.
I visit the grocery to buy fresh milk.,나는 신선한 우유를 사러 식료잡화점을 방문해요.
I always buy some fresh grocery for dinner.,저는 항상 저녁 식사를 위해 신선한 식료품을 사요.
Sunlight quickly increases energy in our warm home.,햇빛이 우리 따뜻한 집의 에너지를 빠르게 증가시켜요.
There is a big increase in fruit sales.,과일 판매에 큰 증가가 있어요.
The smart inventor makes new toys every day.,똑똑한 발명가는 매일 새로운 장난감을 만들어요.
My junior team won our big soccer game.,우리 하급 팀이 큰 축구 경기를 이겼어요.
The little lamb is playing on soft grass.,작은 새끼 양이 부드러운 잔디 위에서 놀고 있어요.
I eat lamb with my family dinner today.,오늘 가족과 함께 양고기를 먹어요.
Hard work always can lead to good results.,열심히 노력하면 항상 좋은 결과에 이르어요.
My kind teacher will lead us to school.,제 친절한 선생님이 우리를 학교로 안내할 거예요.
The lead smiles bright on a movie stage.,영화 무대에서 주인공이 밝게 웃어요.
The lead of my book is very clear.,제 책의 머리글은 아주 명확해요.
The old water pipe has lead inside it.,오래된 수도관 안에 납이 있어요.
Could you please lend me your new pen?,새 펜을 빌려주세요~요.
The jar with water needs a new lid.,물병에 새로운 뚜껑이 필요해요.
I write my log at school every day.,나는 학교에서 매일 일지를 써요.
I saw a big log by the river.,나는 강가에서 큰 통나무를 봤어요.
My sweater feels very loose on colder days.,내 스웨터 는 추운 날에 헐거워요.
The major always leads his soldiers in battle.,소령은 항상 전투에서 병사들을 이끌어요.
The major road is busy in our town.,주요한 길은 우리 마을에서 북적거려요.
I always take medicine daily for better health.,나는 매일 약을 먹어 건강해요.
He learns medicine to treat patients every day.,그는 매일 환자를 치료하기 위해 의학을 배워요.
My messy room is now a big mess.,내 방은 지금 큰 어질러놓은 것이에요.
"After dinner, our kitchen became a huge mess.",저녁 먹은 후 우리 부엌이 엄청난 지저분한 상태가 되었어요.
The metal robot moves slowly around the park.,금속 로봇이 공원 주위를 천천히 움직여요.
We follow a method to study English well.,우리는 영어를 잘 공부하는 방법을 사용해요.
Our city has a modern library for study.,우리 도시는 현대의 도서관이 있어요.
The brave navy patrols our vast blue sea.,용감한 해군은 넓은 푸른 바다를 순찰해요.
He painted his room in a navy color.,그는 방을 남색으로 칠했어요.
Fresh air is necessary for a healthy life.,신선한 공기는 건강한 삶을 위해 필요해요.
He plays neither football nor basketball after school.,그는 방과 후 축구나 농구를 하지 않아요.
The bird will nest in the tall tree.,새는 큰 나무에 둥지를 틀어요.
The little bird built a cozy nest yesterday.,작은 새가 아늑한 둥지를 지었어요.
I notice the pretty bird in the garden.,나는 정원에서 예쁜 새를 주목해요.
I notice a red ball under the table.,나는 탁자 아래 빨간 공을 의식해요.
I notice many bright flowers in the garden.,나는 정원에서 많은 밝은 꽃들을 알아차려요.
I look at the notice at school today.,나는 오늘 학교에서 공고문을 봐요.
Nowadays many students happily enjoy playing outdoor games.,요즈음 많은 학생들이 야외 게임을 즐겨요.
A surprising event can occur during class today.,오늘 수업 중 뜻밖의 사건이 발생할 수 있어요.
The kind mechanic wears an overall for work.,착한 정비사가 작업복을 입어요.
The overall timetable is very clear for everyone.,전체의 시간표가 모두에게 아주 분명해요.
"Overall, our team played well during the game.","전반적으로, 우리 팀은 경기 중 잘했어요."
I ask for pardon after making a mistake.,나는 실수 후에 용서를 구해요.
He quietly said pardon after not hearing clearly.,그는 잘 안 들려서 뭐라고요라고 조용히 말했어요.
The kind nurse helps the patient every day.,친절한 간호사가 매일 환자를 도와요.
My brother is always very patient with puzzles.,내 동생은 퍼즐을 풀 때 참을성이 많아요.
He paused to rest before his next run.,그는 다음 달리기 전에 잠시 쉬었어요.
Tom enjoyed a quiet brief pause during lunch.,톰은 점심 시간에 조용한 작은 휴식을 잘 즐겼어요.
