textbook ID,학년,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
901,중3,능률(김),2015,1,A Life Full of Experiences,현재완료진행형,I have been exploring the local markets this summer.,나는 이번 여름에 지역 시장을 탐방해왔어요.,I have been collecting memories all year. My friends have been sharing stories with me.,나는 일년 내내 추억을 모아왔어요. 내 친구들은 나와 이야기를 나눠왔어요.
901,중3,능률(김),2015,2,Take Care of Yourself,선행사를 부연 설명하는 계속적 용법의 관계사,"I sleep early every night, which makes me feel refreshed.","저는 매일 밤 일찍 자요, 그것이 저를 상쾌하게 만들어줘요.","I eat healthy food every day, which improves my concentration. I drink plenty of water, which keeps my skin glowing.","저는 매일 건강한 음식을 먹어요, 그것이 제 집중력을 향상시켜요. 저는 물을 많이 마셔요, 그것이 제 피부를 빛나게 해줘요."
901,중3,능률(김),2015,3,"Always Aware, Always Prepared",과거완료,I had packed my bag before the class started.,수업이 시작되기 전에 가방을 쌌어요.,I had prepared my notes before the teacher arrived. She had checked all the equipment before the experiment began.,선생님이 도착하기 전에 노트를 준비했어요. 실험이 시작되기 전에 그녀는 모든 장비를 확인했어요.
901,중3,능률(김),2015,4,My Roles in Society,‘~인지 아닌지’를 의미하는 if/whether,I wondered whether I possessed the skills needed to make a difference.,내가 변화를 만들 수 있는 능력을 갖추었는지 궁금했어요.,She asked if her contributions were enough to help others. They questioned whether their efforts could improve the community.,그녀는 자신의 기여가 다른 사람들을 돕기에 충분한지 물었어요. 그들은 자신의 노력이 지역 사회를 개선할 수 있는지 의문을 가졌어요.
901,중3,능률(김),2015,5,Environmental Innovations,to부정사가 나타내는 행위의 주체인 의미상 주어,It's essential for us to conserve energy.,우리에게는 에너지를 절약하는 것이 필수적이에요.,It is necessary for everyone to recycle regularly. It is vital for us to use renewable energy sources.,모두가 정기적으로 재활용하는 것이 필요해요. 우리에게는 재생 에너지원 사용이 중요해요.
901,중3,능률(김),2015,6,Take Part in the Economy,"the+비교급, the+비교급","The less we buy unnecessary things, the more money we save.","불필요한 물건을 덜 살수록, 돈을 더 절약해요.","The fewer items we stock, the more space we have. The less we consume, the fewer wastes we generate.","물건을 덜 쌓을수록, 공간이 더 넓어져요. 소비를 줄일수록, 쓰레기가 덜 나와요."
901,중3,능률(김),2015,7,Future Changes through Technology,가정법 과거,Studying would be more fun if you had a smart assistant.,스마트 어시스턴트가 있었으면 공부가 더 즐거웠을 거예요.,Traveling would be more exciting if you had a fast car. Learning would be smoother if you had a quiet space.,빠른 자동차가 있었으면 여행이 더 신났을 거예요. 조용한 공간이 있었으면 학습이 더 수월했을 거예요.
902,중3,능률(양),2015,1,How Are You Getting Along?,to부정사의 의미상 주어,It is exciting for me to explore new books.,새로운 책들을 탐험하는 것이 저에게는 흥미로워요.,It is challenging for him to solve the math problems. It is fun for us to try different sports.,그가 수학 문제를 풀기는 어려워요. 우리가 다양한 스포츠를 시도하는 것은 즐거워요.
902,중3,능률(양),2015,2,Foods from Around the World,It ~ that 강조 구문,It was in Asia that spicy noodles were first created.,아시아에서 매운 국수가 처음 만들어졌어요.,It was in Europe that chocolate was discovered. It was in Africa that coffee beans were cultivated.,유럽에서 초콜릿이 처음 발견되었어요. 아프리카에서 커피 콩이 재배되었어요.
902,중3,능률(양),2015,3,What Makes Us Shop?,관계대명사 what,I follow what my mentor recommends.,나는 내 멘토가 추천하는 것을 따라해요.,They enjoy what their friends share. We remember what makes us happy.,그들은 친구들이 공유하는 것을 즐겨요. 우리는 우리를 행복하게 만드는 것을 기억해요.
902,중3,능률(양),2015,4,We Are Global Villagers,과거완료,They believed I had forgotten about our meeting.,그들은 내가 우리 모임을 잊어버렸다고 믿었어요.,My teacher thought I had finished my homework early. My friends felt I had visited many countries before.,선생님은 내가 숙제를 미리 끝냈다고 생각했어요. 친구들은 내가 전에 여러 나라를 방문했다고 느꼈어요.
902,중3,능률(양),2015,5,Science in Sports,의문사(how/when/where/what) + to부정사,You might be asking where to begin your training.,어디서 훈련을 시작해야 하는지 물어보고 있어요.,She wonders when to arrange her practice schedule. They are curious about what to pack for a match.,그녀는 언제 연습 일정을 잡아야 하는지 궁금해해요. 그들은 경기 준비를 위해 무엇을 챙겨야 하는지 궁금해해요.
902,중3,능률(양),2015,6,Make Your Ideas Blossom,직·간접 화법 전환,Alex stated that he saw a bright future.,알렉스는 밝은 미래를 봤다고 말했어요.,Emma mentioned that she enjoyed reading novels. Liam stated that he appreciated the creative design.,엠마는 소설 읽는 것을 즐겼다고 언급했어요. 리암은 창의적인 디자인을 고마워했다고 말했어요.
902,중3,능률(양),2015,7,Enjoy Arts and Crafts,가정법 과거,"If you were a painter, I would advise you to explore vibrant colors.","네가 화가였다면, 생생한 색을 탐구하라고 조언했을 거예요.","If you were an artist, you would create marvelous paintings. If you were my friend, I would share art tips with you.","네가 예술가였다면, 멋진 그림을 그렸을 거예요. 네가 내 친구였다면, 예술 팁을 공유했을 거예요."
903,중3,동아(윤),2015,1,Follow Your Dream,접속사 whether/if,I didn't know whether I truly enjoyed the new club.,나는 새로운 동아리가 정말 재미있는지 몰랐어요.,"I am not sure if I can participate in the art contest.
I wondered whether I could improve my skills with practice.","나는 미술 대회에 참가할 수 있을지 확신이 없어요.
나는 연습을 통해 내 실력이 늘 수 있을지 궁금했어요."
903,중3,동아(윤),2015,2,Food for the Heart,사역동사,The music makes me feel relaxed during rainy days.,비 오는 날 음악이 나를 편안하게 해요.,A warm meal makes us feel happy on cold mornings. Laughter makes people feel lighter after a long day.,추운 아침에 따뜻한 식사가 우리를 기분 좋게 해요. 긴 하루가 끝난 후 웃음이 사람들을 가볍게 해요.
903,중3,동아(윤),2015,3,Stories of English Words and Expressions,관계대명사의 계속적 용법,"The word novel comes from the Latin word novella, which means 'new story'.",이 단어 novel은 라틴어 novella에서 왔어요.,"The word cookie comes from the Dutch word koekje, which means 'little cake'. The word ballet comes from the French word ballet, which means 'dance performance'.",이 단어 cookie는 네덜란드어 koekje에서 왔어요. 이 단어 ballet은 프랑스어 ballet에서 왔어요.
903,중3,동아(윤),2015,4,Be a Smart Spender,현재완료진행,I think you've been managing your budget well.,나는 네가 예산을 잘 관리해왔다고 생각해요.,They have been looking for good deals online. We have been tracking our spending every day.,그들은 온라인에서 좋은 상품을 계속 찾고 있어요. 우리는 매일 지출을 꾸준히 확인해왔어요.
903,중3,동아(윤),2015,5,The Team Behind the Team,현재분사,Supporters holding banners cheer loudly at every game.,배너를 들고 응원하는 사람들이 매 경기마다 크게 환호해요.,Players wearing matching shoes play with determination. Members carrying water bottles keep the spirit high.,같은 신발을 신은 선수들이 의지를 가지고 싸워요. 물병을 들고 있는 구성원들이 분위기를 높게 유지해요.
903,중3,동아(윤),2015,6,Stories for All Time,과거완료,I had written many stories before I turned ten.,나는 열 살이 되기 전에 많은 이야기를 썼어요.,She had visited many libraries before school started. He had read all the classic novels by last summer.,그녀는 학교 시작 전에 많은 도서관을 방문했어요. 그는 지난 여름까지 모든 고전 소설을 읽었어요.
903,중3,동아(윤),2015,7,Technology in Our Lives,분사구문,"Using advanced software, engineers build smart devices.",최신 소프트웨어를 사용해 엔지니어들이 스마트 기기를 만들어요.,"Using innovative apps, teens create digital art. Using virtual reality, designers craft interactive exhibits.",혁신적인 앱을 사용해 청소년들이 디지털 아트를 만들어요. 가상 현실을 사용해 디자이너들이 인터랙티브 전시품을 만들어요.
903,중3,동아(윤),2015,8,The Joseon Dynasty Through Paintings,to부정사의 의미상 주어,It was difficult for him to interpret the ancient paintings.,그가 고대 그림들을 해석하기 어려웠어요.,It was surprising for us to uncover hidden details in the art. It was challenging for them to appreciate the cultural stories behind every brush stroke.,우리가 그 예술작품에서 숨겨진 세부 사항을 발견하는 것이 놀라웠어요. 그들이 각 붓질 속에 담긴 문화 이야기를 이해하기 어려웠어요.
904,중3,동아(이),2015,1,"I Can’t, but We Can",to부정사의 의미상의 주어,It was challenging for us to decide on a new plan.,새로운 계획을 결정하는 것이 우리에게는 도전적이었어요.,It seems difficult for us to finish the project on time. It became necessary for us to solve the problem quickly.,제시간에 프로젝트를 끝내는 것이 우리에게 어려워 보여요. 문제를 빨리 해결하는 것이 우리에게 필요해졌어요.
904,중3,동아(이),2015,2,Go Green,수 일치,About one third of our school books are borrowed every month.,우리 학교 책 중 약 3분의 1이 매달 대출돼요.,About half of the club members participate in environmental projects. About two fifths of local trees are planted in community parks.,동아리 구성원 중 약 절반이 환경 프로젝트에 참여해요. 지역 공원에서는 나무 중 약 2/5가 심어져요.
904,중3,동아(이),2015,3,Heal the World,사역동사,The director had us check the schedule carefully.,감독님께서 우리에게 일정을 꼼꼼히 확인하게 했어요.,My coach let me practice extra after school. Our mentor got us to review our projects.,코치님께서 학교 끝나고 추가 연습을 하게 했어요. 멘토님께서 우리에게 프로젝트를 복습하게 했어요.
904,중3,동아(이),2015,4,"Open a Book, Open Your Mind","+ 비교급 ~, + 비교급 ... The more Stanley dug, the stronger he became.","I worked harder than my classmates, and the more I practiced, the faster I improved.","나는 반 친구들보다 더 열심히 공부했고, 연습할수록 더 빨리 발전했어요.","She read more books than anyone, and the more she read, the deeper her thoughts became. He saved more money than before, and the more he saved, the happier he felt.","그녀는 누구보다 책을 더 많이 읽었고, 읽을수록 생각이 더 깊어졌어요. 그는 전보다 돈을 더 많이 모았고, 모을수록 기분이 더 좋아졌어요."
904,중3,동아(이),2015,5,Believe in Yourself,가정법 과거,"If I were an artist, I would create beautiful paintings.","내가 화가라면, 예쁜 그림을 그렸을 거예요.","If I were a chef, I would cook delicious meals. If I were a scientist, I would discover new things.","내가 요리사라면, 맛있는 음식을 요리했을 거예요. 내가 과학자라면, 새로운 것을 발견했을 거예요."
904,중3,동아(이),2015,6,Make the World Beautiful,so that,The designer painted the mural so that students could appreciate art.,그 디자이너는 학생들이 예술을 감상할 수 있도록 벽화를 그렸어요.,She added green spaces so that families could relax. They installed larger windows so that people could see the sky.,그녀는 가족들이 쉴 수 있도록 녹지를 추가했어요. 그들은 사람들이 하늘을 볼 수 있도록 큰 창문을 설치했어요.
